"","municipalities","fertilitetsrate","econ_score","Percent"
"1","aabenraa",1.7,2,0.834749246
"2","aalborg",1.6,2,4.099677149
"3","aarhus",1.6,3,7.822035862
"4","aero",2.2,1,0.058186067
"5","albertslund",1.7,1,0.476955296
"6","allerod",2.4,3,0.379100433
"7","assens",2.2,1,0.567604694
"8","ballerup",1.8,2,0.842884448
"9","billund",1.9,2,0.408154727
"10","bornholm",1.9,1,0.48997162
"11","brondby",1.9,1,0.70241662
"12","bronderslev",2.3,1,0.541494568
"13","dragor",2.3,3,0.196871898
"14","esbjerg",1.7,2,1.787885057
"15","faaborg-midtfyn",1.8,1,0.732323174
"16","fano",1.6,2,0.034555241
"17","faxe",1.9,2,0.536768403
"18","fredensborg",2.1,3,0.6118447
"19","fredericia",1.8,2,0.808561642
"20","frederiksberg",1.5,3,2.171711654
"21","frederikshavn",1.9,1,0.753629656
"22","frederikssund",2,2,0.650661237
"23","gentofte",1.9,3,1.164496117
"24","gladsaxe",2,3,1.222062359
"25","glostrup",1.7,2,0.397152834
"26","greve",1.9,3,0.805617473
"27","haderslev",1.7,2,0.806314777
"28","hedensted",2.1,3,0.703811226
"29","helsingor",2,3,0.895182178
"30","herlev",1.8,2,0.507016806
"31","herning",2,2,1.416687392
"32","hillerod",2,3,0.880228901
"33","hjorring",2,2,0.893245225
"34","hoje-taastrup",2.1,2,1.041150953
"35","holbaek",1.9,2,1.124904799
"36","holstebro",1.8,2,0.932061762
"37","horsens",1.8,2,1.641838804
"38","horsholm",1.9,3,0.323548622
"39","hvidovre",1.8,2,0.932914022
"40","ikast-brande",1.9,2,0.65135854
"41","ishoj",2,1,0.421635919
"42","kalundborg",2.2,1,0.671580329
"43","kerteminde",1.7,2,0.323393666
"44","kobenhavn",1.5,3,15.69327033
"45","koge",1.8,2,0.975449509
"46","kolding",1.7,2,1.574122928
"47","laeso",2.1,1,0.015805536
"48","lejre",2.2,3,0.430235991
"49","lemvig",2.2,2,0.243513726
"50","lyngby-taarbaek",1.8,3,0.964602572
"51","mariagerfjord",2.4,2,0.576514678
"52","middelfart",1.9,2,0.571556078
"53","morso",2,1,0.258621959
"54","naestved",1.6,2,1.311007239
"55","norddjurs",2.2,1,0.500353688
"56","nyborg",1.7,1,0.4602975
"57","odder",2.4,2,0.335247818
"58","odense",1.6,2,4.002132198
"59","randers",1.7,1,1.607903388
"60","ringkobing-skjern",2.2,2,0.808096773
"61","ringsted",2.1,2,0.58178319
"62","rodovre",1.7,2,0.788572287
"63","roskilde",1.7,3,1.46743556
"64","samso",1.7,2,0.034942631
"65","silkeborg",1.9,3,1.611389903
"66","skanderborg",2.2,3,1.016512911
"67","skive",1.8,2,0.617035734
"68","slagelse",1.6,1,1.24096702
"69","solrod",2.1,3,0.38785546
"70","sonderborg",1.9,1,1.031311232
"71","soro",2.3,2,0.448443348
"72","stevns",2.2,2,0.311849426
"73","struer",2,1,0.279231138
"74","svendborg",1.8,2,0.866747709
"75","taarnby",1.8,2,0.717834766
"76","thisted",2.2,2,0.595961686
"77","tonder",1.8,1,0.48625267
"78","vallensbaek",1.9,3,0.314871073
"79","varde",1.8,2,0.70528331
"80","vejen",2,2,0.642603513
"81","vejle",1.7,2,1.995758848
"82","viborg",1.8,2,1.518958508
"83","vordingborg",1.9,1,0.585037271
