Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aabenraa,1.6483040799391957,2,49,4,2,1,0,1,0,0,0
Aabenraa,1.518149776170152,3,49,4,1,0,1,1,1,0,0
Aabenraa,1.8842157164231839,1,49,3,1,0,0,1,1,0,0
Aabenraa,1.895262110634624,3,49,6,1,1,2,1,1,0,0
Aabenraa,2.1276972099406084,1,49,6,2,1,1,1,1,0,0
Aabenraa,1.6609979675382331,3,49,6,2,0,2,2,0,0,0
Aabenraa,1.760988505499171,3,49,9,4,0,1,2,1,1,0
Aabenraa,1.8683476780788135,3,49,8,3,1,2,2,0,0,0
Aabenraa,1.787158682924561,3,49,2,1,0,0,1,0,0,0
Aabenraa,1.750109488161928,1,49,11,3,1,3,1,3,0,0
Aabenraa,1.743411395679563,3,49,9,3,0,4,1,1,0,0
Aabenraa,1.6745524066733446,3,49,9,3,1,2,2,1,0,0
Aabenraa,1.8057806952650641,3,49,8,3,1,2,2,0,0,0
Aabenraa,1.4407921756023359,3,49,6,2,1,1,2,0,0,0
Aabenraa,1.6991866812598615,3,49,12,2,0,5,3,2,0,0
Aabenraa,1.6501045871537556,3,49,9,2,2,2,2,1,0,0
Aabenraa,1.7447738961603214,3,49,9,4,0,3,2,0,0,0
Aabenraa,1.6140263720352308,1,49,6,2,0,3,1,0,0,0
Aabenraa,1.7320204014336165,2,49,8,2,1,3,2,0,0,0
Aabenraa,1.6734597419316346,2,49,13,5,2,4,2,0,0,0
Aabenraa,1.9682781666594473,3,49,10,3,2,2,2,1,0,0
Aabenraa,1.3841927725731984,3,49,11,4,0,5,2,0,0,0
Aabenraa,1.891564875673207,1,49,10,2,1,3,3,1,0,0
Aabenraa,1.6424316007686508,1,49,12,3,1,4,1,3,0,0
Aabenraa,2.0470150104687628,3,49,10,3,1,4,1,1,0,0
Aabenraa,1.6233200054060282,3,49,11,2,1,4,3,1,0,0
Aabenraa,1.588144787842411,3,49,12,2,3,3,3,1,0,0
Aabenraa,1.8323156399418925,3,49,11,4,0,3,4,0,0,0
Aabenraa,1.5909773800915747,3,49,12,3,2,4,3,0,0,0
Aabenraa,1.479950618645048,1,49,10,2,0,5,2,1,0,0
Aabenraa,1.689340026581223,2,49,13,3,2,3,4,1,0,0
Aabenraa,1.8979139719067337,3,49,13,3,2,5,2,1,0,0
Aabenraa,1.798070445845593,3,49,11,3,1,4,2,1,0,0
Aabenraa,1.6656615128647614,1,49,10,3,0,5,2,0,0,0
Aabenraa,1.4527759787912435,3,49,14,3,0,4,5,2,0,0
Aabenraa,1.6753282323721415,3,49,14,4,0,5,3,2,0,0
Aabenraa,1.3783805758961758,3,49,16,3,3,4,4,2,0,0
Aabenraa,1.529771373620834,3,49,15,3,1,5,5,1,0,0
Aabenraa,1.6739454332940098,3,49,12,2,1,5,3,1,0,0
Aabenraa,1.9610423788649973,1,49,12,2,0,5,3,2,0,0
Aabenraa,1.8007777920936598,1,49,17,3,4,5,5,0,0,0
Aabenraa,1.8376811870156384,3,49,13,2,0,5,4,2,0,0
Aabenraa,1.6463688720512368,3,49,14,3,1,5,4,1,0,0
Aabenraa,1.7079469143326271,3,49,14,2,3,5,4,0,0,0
Aabenraa,1.50799770467759,3,49,14,3,1,5,4,1,0,0
Aabenraa,1.5792022898369495,1,49,12,2,0,5,4,1,0,0
Aabenraa,1.9136142973337078,2,49,18,3,2,5,5,3,0,0
Aabenraa,2.0466520340290133,2,49,14,3,1,5,4,0,1,0
Aabenraa,1.936601893218819,3,49,16,3,1,5,5,1,1,0
Aabenraa,1.5641924570545669,3,49,17,3,2,5,5,2,0,0
Aabenraa,1.8645002344887323,3,49,12,2,1,5,4,0,0,0
Aabenraa,1.661517230424091,3,49,16,4,1,5,4,2,0,0
Aabenraa,1.8554046419194465,3,49,13,3,0,5,4,1,0,0
Aabenraa,1.5270372019595713,3,49,15,3,1,5,5,1,0,0
Aabenraa,1.2673215857783124,1,49,13,2,1,5,5,0,0,0
Aabenraa,1.8451207969031438,3,49,15,3,1,5,5,1,0,0
Aabenraa,1.6927357444426152,3,49,19,4,3,5,5,2,0,0
Aabenraa,1.5345821515699167,3,49,16,4,2,5,5,0,0,0
Aabenraa,1.3904107922683204,1,49,17,2,3,5,5,2,0,0
Aabenraa,1.9616401118972302,2,49,16,5,1,5,4,1,0,0
Aabenraa,1.875037324794248,2,49,15,3,1,5,5,1,0,0
Aabenraa,1.710519740639298,1,49,17,4,1,5,5,2,0,0
Aabenraa,1.648695199171644,1,49,16,4,1,5,5,1,0,0
Aabenraa,1.9793707977599273,1,49,16,2,2,5,5,2,0,0
Aabenraa,2.3993267086775365,3,49,14,2,1,5,5,1,0,0
Aabenraa,1.8681170743779019,3,49,16,3,2,5,5,1,0,0
Aabenraa,1.6540369327331919,1,49,13,2,0,5,5,1,0,0
Aabenraa,1.8378843320224625,3,49,17,3,2,5,5,2,0,0
Aabenraa,1.6433145205042667,3,49,18,3,2,5,5,3,0,0
Aabenraa,1.71125387109563,1,49,14,2,1,5,5,1,0,0
Aabenraa,1.617426477483314,2,49,16,3,1,5,5,1,1,0
Aabenraa,1.4827886697092758,3,49,16,4,2,5,5,0,0,0
Aabenraa,1.7450643965221067,2,49,18,3,3,5,5,2,0,0
Aabenraa,1.6985409811251169,3,49,14,2,0,5,5,2,0,0
Aabenraa,1.6249211437132227,1,49,17,5,0,5,5,2,0,0
Aabenraa,1.45130611578876,3,49,14,2,1,5,5,1,0,0
Aabenraa,1.684094373580548,1,49,18,4,4,5,5,0,0,0
Aabenraa,1.8327267816713066,3,49,18,4,1,5,5,3,0,0
Aabenraa,1.697446686973056,2,49,17,2,4,5,5,1,0,0
Aabenraa,1.9245597408192803,3,49,18,2,3,5,5,3,0,0
Aabenraa,1.3887570271121046,3,49,16,3,3,5,5,0,0,0
Aabenraa,1.637255359851509,2,49,18,2,2,5,5,4,0,0
Aabenraa,2.022511208672454,1,49,18,3,2,5,5,3,0,0
Aalborg,1.6414851891183282,1,49,15,3,1,5,5,1,0,0
Aalborg,1.781589717482618,1,49,17,3,1,5,5,3,0,0
Aalborg,1.3722476245163109,3,49,18,3,2,5,5,3,0,0
Aalborg,1.6333441988324118,2,49,14,3,0,5,5,1,0,0
Aalborg,1.6441067753544167,3,49,17,3,3,5,5,1,0,0
Aalborg,1.6169683427389825,3,49,20,4,3,5,5,3,0,0
Aalborg,1.5605990379131978,3,49,14,2,2,5,5,0,0,0
Aalborg,1.5807549339169142,1,49,17,3,1,5,5,3,0,0
Aalborg,1.1747985274430353,3,49,19,4,2,5,5,3,0,0
Aalborg,1.7354087864435785,3,49,18,4,1,5,5,3,0,0
Aalborg,1.7366987251175943,3,49,13,2,1,5,5,0,0,0
Aalborg,1.9991572101722275,3,49,20,4,4,5,5,2,0,0
Aalborg,1.4188477749602113,3,49,20,3,5,5,5,2,0,0
Aalborg,1.7812159552001208,1,49,16,2,2,5,5,2,0,0
Aalborg,1.6888931818128274,1,49,18,3,2,5,5,3,0,0
Aalborg,1.650028737867461,1,49,17,4,1,5,5,2,0,0
Aalborg,1.5862615295438898,3,49,18,4,1,5,5,2,0,1
Aalborg,1.8068819118211312,3,49,18,4,3,5,5,1,0,0
Aalborg,1.6900722009963889,3,49,14,3,0,5,5,1,0,0
Aalborg,1.4814211849023848,3,49,17,3,2,5,5,2,0,0
Aalborg,1.4152682504311527,2,49,16,3,1,5,5,2,0,0
Aalborg,1.7045343920753766,3,49,20,3,3,5,5,4,0,0
Aalborg,1.814657673133327,3,49,16,3,1,5,5,2,0,0
Aalborg,1.625124925021234,1,49,19,4,3,5,5,2,0,0
Aalborg,1.6618407186642306,1,49,21,3,4,5,5,4,0,0
Aalborg,1.7095399796427724,2,49,16,3,3,5,5,0,0,0
Aalborg,1.6937172965707852,2,49,18,3,2,5,5,3,0,0
Aalborg,1.692222578478817,1,49,16,3,1,5,5,2,0,0
Aalborg,1.5889391407585567,3,49,18,4,1,5,5,3,0,0
Aalborg,1.5762030475626825,3,49,21,4,3,5,5,4,0,0
Aalborg,1.5179704810336891,3,49,20,4,2,5,5,4,0,0
Aalborg,1.4293868658634734,3,49,20,4,4,5,5,2,0,0
Aalborg,1.75708495596021,1,49,17,3,2,5,5,2,0,0
Aalborg,1.7692007002722754,1,49,16,4,1,5,5,1,0,0
Aalborg,1.5505958142634266,3,49,19,3,3,5,5,3,0,0
Aalborg,1.5684438317767466,2,49,19,5,2,5,5,2,0,0
Aalborg,1.5767277081476945,2,49,15,2,2,5,5,1,0,0
Aalborg,1.7272339434086423,3,49,18,3,2,5,5,3,0,0
Aalborg,1.802456933431871,3,49,19,3,2,5,5,4,0,0
Aalborg,1.814615893220462,3,49,18,3,2,5,5,3,0,0
Aalborg,1.4507081867581393,1,49,19,4,3,5,5,2,0,0
Aalborg,1.6948546972373824,3,49,21,4,4,5,5,3,0,0
Aalborg,1.4465405168986092,3,49,18,3,1,5,5,4,0,0
Aalborg,1.8315385005565383,3,49,20,3,3,5,5,4,0,0
Aalborg,1.519763194719308,3,49,16,2,2,5,5,2,0,0
Aalborg,1.6751220447798552,2,49,22,4,4,5,5,4,0,0
Aalborg,1.3910637872221816,3,49,17,2,3,5,5,2,0,0
Aalborg,1.25672956318216,1,49,19,5,4,5,5,0,0,0
Aalborg,1.8945431988516386,3,49,18,2,2,5,5,4,0,0
