Municipality,Fertility Rate,socio_economic_class,Age,Children,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10
Aabenraa,1.823041082457191,2,25,0,,1.0,,,,,,,,
Aabenraa,1.7704649658773612,3,25,0,1.0,,1.0,1.0,1.0,,,1.0,,1.0
Aabenraa,1.607715337101507,3,25,0,1.0,,,1.0,1.0,,1.0,,1.0,
Aabenraa,1.6406647790675797,1,25,0,,,,1.0,,,,,,
Aabenraa,1.7950468107525328,3,25,0,1.0,1.0,,1.0,1.0,,,1.0,,
Aabenraa,1.694478590036498,3,25,0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Aabenraa,1.5677812227562564,2,25,0,,,,1.0,,,,,,
Aabenraa,1.53119923572862,2,25,0,,,,,,,,,,
Aalborg,1.65065326623823,1,25,0,,,,,,,,,,
Aalborg,1.2872420002053317,3,25,0,,1.0,,,,,1.0,1.0,,1.0
Aalborg,1.6038937530367938,3,25,0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0
Aalborg,1.6341846425248294,3,25,0,1.0,1.0,1.0,,1.0,1.0,,,1.0,
Aalborg,1.8340716118607205,2,25,0,,,,,,,,,,
Aalborg,1.4416070082536139,3,25,0,,,1.0,,,1.0,1.0,1.0,1.0,1.0
Aalborg,1.8249925107691762,3,25,0,,1.0,1.0,,1.0,,,1.0,,
Aalborg,1.6179638859132597,3,25,0,1.0,1.0,,,,,1.0,,1.0,1.0
Aalborg,1.5541773496848996,3,25,0,,,,,,1.0,1.0,1.0,1.0,
Aalborg,1.8496370952903691,2,25,0,,,,,1.0,1.0,,,,
Aalborg,1.5793993765687566,3,25,0,,,1.0,,1.0,,,,,1.0
Aalborg,1.5977013664548634,3,25,0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
Aalborg,1.4221292324787203,3,25,0,,1.0,,,,1.0,,,1.0,
Aalborg,1.565593986959187,3,25,0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0
Aalborg,1.26118337398128,1,25,0,,,,,,,1.0,,,
Aalborg,1.5945037737486891,3,25,0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,
Aalborg,1.6202287938748259,1,25,0,,,,,,,,,,
Aalborg,1.6679587353295873,1,25,0,,,,,,,,,,
Aalborg,1.8613645699059438,1,25,0,,,,,,,,,,
Aalborg,1.5488394605976286,3,25,0,1.0,1.0,,,1.0,1.0,,,,1.0
Aalborg,1.4795291609253198,2,25,0,,,,,,,,,,
Aalborg,1.1216777630532575,3,25,0,1.0,1.0,,,,,,,1.0,1.0
Aalborg,1.5562251644151834,3,25,0,,1.0,,1.0,,1.0,,1.0,1.0,
Aalborg,1.492808370729325,2,25,0,,,,,,,,,,
Aalborg,1.5585942885964632,3,25,0,,,,,1.0,1.0,1.0,1.0,,
Aalborg,1.7703863894504883,3,25,0,,1.0,,,,,1.0,1.0,,
Aalborg,1.551963130476088,3,25,0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,
Aalborg,1.9340241766559256,3,25,0,,1.0,,,,1.0,1.0,1.0,,
Aalborg,1.5600086225833543,2,25,0,,,,,,,,,,
Aalborg,1.7008410652832644,2,25,0,,,,,,,,,,
Aalborg,1.7702087084713038,3,25,0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0
Aalborg,1.4273210759514652,3,25,0,1.0,,1.0,,,1.0,,1.0,,1.0
Aalborg,1.3732340199159185,2,25,0,,,,,,,,,,
Aalborg,1.5526222644513645,2,25,0,,1.0,,,,,,,,
Aalborg,1.4765093490848138,3,25,0,,1.0,,,,,1.0,1.0,,
Aalborg,1.5368941201666317,3,25,0,,1.0,,1.0,,1.0,,1.0,1.0,
Aalborg,1.6313115206441795,1,25,0,,,,,,,,,,
Aalborg,1.5123150132116447,2,25,0,,,,,,,,,,
Aalborg,1.5632653201520474,3,25,0,1.0,,1.0,,1.0,1.0,,,,1.0
Aalborg,1.5808486224102551,2,25,0,,,,,,,,,,
Aarhus,1.7022514349540032,3,25,0,,1.0,,1.0,1.0,1.0,1.0,1.0,,
Aarhus,1.8462440187013591,1,25,0,,,,,,,,,,
Aarhus,1.5406645477175,3,25,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0
Aarhus,1.6943635955292338,3,25,0,,1.0,1.0,1.0,,1.0,,1.0,,
Aarhus,1.2903638688288264,2,25,0,,,,,,,,1.0,,
Aarhus,1.6536206484383826,3,25,0,,1.0,,,,,,1.0,1.0,
Aarhus,1.4366813562773104,2,25,0,,,,,,,,,,
Aarhus,1.4683673624500826,3,25,0,1.0,1.0,,,1.0,1.0,,1.0,1.0,
Aarhus,1.8161763547529146,2,25,0,,,,,,,,,,
Aarhus,1.4517165996029062,3,25,0,1.0,,,,1.0,,,,1.0,
Aarhus,1.6656660957572162,3,25,0,,,1.0,,1.0,,1.0,1.0,,
Aarhus,1.4909998137906566,3,25,0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0
Aarhus,1.6697113881247396,2,25,0,,,,,,,,,,
Aarhus,1.406072974298461,1,25,0,,,,,,,,,,
Aarhus,1.5845501994904123,3,25,0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0
Aarhus,1.5779724141885734,3,25,0,1.0,1.0,1.0,,,,,,,1.0
Aarhus,1.8022223698067428,2,25,0,,,,,,,,1.0,,
Aarhus,1.8298809134312106,2,25,0,,1.0,,,,,,,,
Aarhus,1.5062290521411796,3,25,0,,1.0,1.0,1.0,1.0,,,1.0,1.0,
Aarhus,1.5782586248961752,3,25,0,1.0,,,1.0,1.0,,,1.0,1.0,
Aarhus,1.6935791819064687,2,25,0,,,,,,,,,,
Aarhus,1.6861073654776069,1,25,0,,,,,,,,,1.0,
Aarhus,1.7000992071115375,1,25,0,,,,,,,,,,1.0
Aarhus,1.6877220033699076,1,25,0,,,,,,,1.0,,1.0,
Aarhus,1.6092426094598729,3,25,0,1.0,1.0,,1.0,1.0,1.0,,,,1.0
Aarhus,1.6437487966145634,3,25,0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
Aarhus,1.6673189690750465,3,25,0,,1.0,,1.0,,,1.0,1.0,1.0,1.0
Aarhus,1.2875569169207188,2,25,0,,,,,,,,,,
Aarhus,1.9169087664813762,3,25,0,,,,,1.0,1.0,,1.0,1.0,
Aarhus,1.6592796796457372,2,25,0,,,,,,1.0,,,,
Aarhus,1.726857749073083,3,25,0,,1.0,1.0,,1.0,1.0,1.0,,1.0,
Aarhus,1.7026943121228608,2,25,0,,,,,,,,1.0,,
Aarhus,1.5469821758126738,2,25,0,,,,,,,,,,
Aarhus,1.6288654973764185,3,25,0,1.0,1.0,,1.0,,,1.0,1.0,,
Aarhus,1.6629405874305099,3,25,0,,,,,1.0,,1.0,1.0,,1.0
Aarhus,1.5253460787810216,2,25,0,,,,,,,,,,
Aarhus,1.4939248839817623,2,25,0,1.0,,,,,,,,,
Aarhus,1.621798872705206,2,25,0,,,,,,,,,,
