Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aabenraa,1.4810946135210028,3,49,2,0,1,0,0,1,0,0
Aabenraa,1.7602073482839518,3,49,2,0,0,2,0,0,0,0
Aabenraa,1.353724073264302,1,49,2,0,0,0,2,0,0,0
Aabenraa,1.795097990533157,1,49,1,0,0,0,1,0,0,0
Aabenraa,1.6852607798281116,1,49,4,0,0,1,2,1,0,0
Aabenraa,1.6518946608233274,3,49,3,0,0,2,1,0,0,0
Aabenraa,1.8568585504859727,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.7732882367564617,2,49,3,0,1,0,1,0,1,0
Aabenraa,1.8022340816348386,1,49,1,0,0,0,0,1,0,0
Aabenraa,1.8036744106060856,2,49,2,0,0,1,1,0,0,0
Aabenraa,1.8901440569566559,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.603950761491239,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.694021464719582,1,49,0,0,0,0,0,0,0,0
Aabenraa,1.9973400659085478,1,49,2,0,1,0,1,0,0,0
Aabenraa,1.4527222003947415,3,49,2,0,0,0,0,2,0,0
Aabenraa,1.5187413182669953,1,49,0,0,0,0,0,0,0,0
Aabenraa,1.6272471868383545,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.6645270577530347,3,49,3,1,0,0,2,0,0,0
Aabenraa,1.6330371101665015,1,49,2,0,0,0,1,1,0,0
Aabenraa,1.759698344948093,3,49,1,0,0,1,0,0,0,0
Aabenraa,1.5007641853947908,3,49,2,0,0,1,1,0,0,0
Aabenraa,1.8308870691079013,3,49,3,1,0,1,1,0,0,0
Aabenraa,1.821045129741807,3,49,2,0,0,0,1,1,0,0
Aabenraa,1.70669453624788,3,49,4,0,1,1,0,2,0,0
Aabenraa,1.5786350805062046,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.5734696256806655,3,49,1,0,0,1,0,0,0,0
Aabenraa,1.821077252191132,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.7552234603736434,3,49,2,1,0,0,1,0,0,0
Aabenraa,1.3502197261510798,2,49,0,0,0,0,0,0,0,0
Aabenraa,1.6353130373657676,3,49,1,0,0,1,0,0,0,0
Aabenraa,1.7877246294241034,2,49,2,0,0,1,1,0,0,0
Aabenraa,1.6412741961091442,3,49,3,0,1,1,0,1,0,0
Aabenraa,1.7728815131740114,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.707351215166582,1,49,0,0,0,0,0,0,0,0
Aabenraa,1.363214119578844,2,49,4,0,0,2,1,1,0,0
Aabenraa,1.6956564373614147,3,49,1,0,1,0,0,0,0,0
Aabenraa,1.5501171868761296,3,49,3,0,0,1,1,1,0,0
Aabenraa,1.6285446834725117,1,49,1,0,0,0,1,0,0,0
Aabenraa,1.7033515694624894,3,49,2,0,0,1,1,0,0,0
Aabenraa,1.7143157583728748,2,49,3,0,0,1,1,1,0,0
Aabenraa,1.597790915739733,3,49,2,0,0,0,2,0,0,0
Aabenraa,1.6751609017815003,3,49,2,0,0,0,2,0,0,0
Aabenraa,1.8374228867354638,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.6508920207283373,2,49,3,0,0,0,2,1,0,0
