Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aabenraa,1.925407917398308,1,49,2,0,1,1,0,0,0,0
Aabenraa,1.4395174160809348,1,49,7,0,1,2,3,0,1,0
Aabenraa,1.635079985061052,2,49,7,0,2,3,2,0,0,0
Aabenraa,1.7192358794919682,1,49,7,3,1,2,1,0,0,0
Aabenraa,1.5855454460102962,3,49,4,0,2,2,0,0,0,0
Aabenraa,1.8536437287940015,3,49,7,3,3,1,0,0,0,0
Aabenraa,1.7555648982232748,1,49,6,1,1,1,3,0,0,0
Aabenraa,1.7335485917822444,1,49,6,3,1,0,2,0,0,0
Aabenraa,1.5548235985270482,3,49,7,3,3,1,0,0,0,0
Aabenraa,1.7962414933344237,3,49,8,3,1,2,1,1,0,0
Aabenraa,1.8463562734710104,3,49,7,4,1,0,2,0,0,0
Aabenraa,2.109151380463184,3,49,12,5,3,1,3,0,0,0
Aabenraa,1.9353531896125453,3,49,11,3,1,3,3,1,0,0
Aabenraa,1.7406780402180742,1,49,10,4,2,3,0,1,0,0
Aabenraa,1.6236465811130536,2,49,8,2,4,1,1,0,0,0
Aabenraa,1.7570592595963597,1,49,10,3,0,3,1,3,0,0
Aabenraa,1.739925555894539,3,49,11,3,4,2,1,1,0,0
Aabenraa,1.613512766036498,1,49,13,4,1,3,3,2,0,0
Aabenraa,1.78389686120709,3,49,9,3,1,1,2,2,0,0
Aabenraa,1.8950320866780042,2,49,10,3,1,2,3,1,0,0
Aabenraa,1.3692057058657658,3,49,11,3,0,5,1,2,0,0
Aabenraa,1.6335857953494033,3,49,10,3,1,2,3,1,0,0
Aabenraa,1.6871956825894763,3,49,14,3,3,3,3,2,0,0
Aabenraa,1.6656684709932403,1,49,9,3,1,2,1,2,0,0
Aabenraa,1.6848334372688847,2,49,15,4,3,4,3,1,0,0
Aabenraa,1.8998148131066275,3,49,12,3,2,4,3,0,0,0
Aabenraa,1.6027656842859022,1,49,14,3,4,3,4,0,0,0
Aabenraa,1.619920297801981,1,49,10,3,1,3,3,0,0,0
Aabenraa,1.6714890651032863,1,49,15,3,3,4,5,0,0,0
Aabenraa,1.3841959444600747,2,49,15,3,3,5,1,3,0,0
Aabenraa,1.6487267077127745,3,49,11,3,0,5,3,0,0,0
Aabenraa,1.5890174941979571,3,49,10,3,1,4,2,0,0,0
Aabenraa,1.655344516473271,1,49,13,4,3,3,3,0,0,0
Aabenraa,1.5145675004551442,3,49,11,3,3,4,1,0,0,0
Aabenraa,1.5635431234023025,1,49,11,3,1,4,1,2,0,0
Aabenraa,1.441899507953424,3,49,9,2,0,4,1,1,1,0
Aabenraa,1.714214548350784,2,49,14,2,2,5,2,3,0,0
Aabenraa,1.7092709165162867,1,49,13,3,2,3,4,1,0,0
Aabenraa,1.5057882203081707,1,49,14,3,3,4,3,1,0,0
Aabenraa,1.5921535719438134,3,49,15,2,3,5,4,1,0,0
Aabenraa,1.6769931758306298,2,49,14,3,1,5,4,1,0,0
Aabenraa,1.7149376058263728,3,49,12,2,2,5,3,0,0,0
Aabenraa,1.9690540291916465,3,49,14,3,2,5,4,0,0,0
Aabenraa,1.5126780359099259,3,49,16,3,2,5,3,3,0,0
Aabenraa,1.8416697147895913,2,49,17,5,2,5,3,1,1,0
Aabenraa,1.607637013017398,3,49,14,2,1,5,4,2,0,0
Aabenraa,1.8113049535946777,3,49,18,4,3,5,4,1,1,0
Aabenraa,1.8885014223773873,3,49,19,3,4,5,5,2,0,0
Aabenraa,1.7903859405549738,2,49,14,4,1,5,2,2,0,0
Aabenraa,1.5291127714487742,2,49,19,3,4,5,4,2,1,0
Aabenraa,1.4458467051703705,3,49,14,3,2,5,2,2,0,0
Aabenraa,1.8167774437606756,1,49,16,3,3,5,5,0,0,0
Aabenraa,1.5522499064595734,2,49,16,4,1,5,4,2,0,0
Aabenraa,1.5382242875750782,2,49,17,5,1,5,5,1,0,0
Aabenraa,1.4617188784796178,1,49,17,3,3,5,5,1,0,0
Aabenraa,1.7335008796242084,1,49,18,4,3,5,5,1,0,0
Aabenraa,2.0113547464313815,3,49,18,5,2,5,5,1,0,0
Aabenraa,1.8457955798188828,2,49,17,5,1,5,5,1,0,0
Aabenraa,1.6367430219104633,3,49,14,4,0,5,4,1,0,0
Aabenraa,1.7576483887826067,3,49,19,4,3,5,5,2,0,0
Aabenraa,2.0781217079984735,3,49,18,4,4,5,5,0,0,0
Aabenraa,1.7714223959636037,2,49,15,3,2,5,4,1,0,0
Aabenraa,1.9433879477559277,2,49,16,3,2,5,5,1,0,0
Aabenraa,2.028343875063623,1,49,17,4,2,5,5,1,0,0
Aabenraa,1.6233911935451126,3,49,18,3,2,5,5,3,0,0
Aabenraa,1.6840022274652597,3,49,19,4,3,5,5,2,0,0
Aabenraa,1.6262842390766645,1,49,17,4,3,5,5,0,0,0
Aabenraa,1.5145583863397212,2,49,17,4,0,5,5,3,0,0
Aabenraa,1.7209655832355741,2,49,18,3,3,5,5,2,0,0
Aabenraa,2.0137021953764616,3,49,15,3,2,5,5,0,0,0
Aabenraa,1.9281650824025243,3,49,18,3,4,5,5,1,0,0
Aabenraa,1.4773064105510663,2,49,17,2,4,5,5,1,0,0
Aabenraa,1.5800205261547955,3,49,17,4,2,5,5,1,0,0
Aabenraa,1.7145020189905917,3,49,19,4,4,5,5,1,0,0
Aabenraa,1.7552664278479921,3,49,19,3,4,5,5,2,0,0
Aabenraa,2.2104975180857656,3,49,18,3,2,5,5,3,0,0
Aabenraa,1.902639969316639,3,49,17,3,3,5,5,1,0,0
Aabenraa,1.797908936718343,3,49,19,4,2,5,5,3,0,0
Aabenraa,1.2929008591069742,1,49,19,3,2,5,5,4,0,0
Aabenraa,1.6994285752543856,3,49,18,3,2,5,5,3,0,0
Aabenraa,1.925958279794417,2,49,17,3,3,5,5,1,0,0
Aabenraa,1.547502477675729,1,49,19,5,2,5,5,2,0,0
Aabenraa,1.5661178476041306,3,49,19,4,4,5,5,1,0,0
Aalborg,1.4620140371842367,2,49,19,5,2,5,5,2,0,0
Aalborg,1.638377847893974,2,49,18,4,1,5,5,3,0,0
Aalborg,1.546262010255369,3,49,18,4,3,5,5,1,0,0
Aalborg,1.538784805627509,2,49,19,4,4,5,5,1,0,0
Aalborg,1.5568446887149892,3,49,21,5,4,5,5,2,0,0
Aalborg,1.9043947275633206,3,49,16,3,2,5,5,1,0,0
Aalborg,1.5668472498073407,3,49,18,5,1,5,5,2,0,0
Aalborg,1.5161458070077691,3,49,17,2,2,5,5,3,0,0
Aalborg,1.7405136739926164,1,49,17,4,3,5,5,0,0,0
Aalborg,1.6447025068315053,3,49,19,4,3,5,5,2,0,0
Aalborg,1.710584790561145,3,49,17,3,3,5,5,1,0,0
Aalborg,1.7190245697375455,1,49,18,4,2,5,5,2,0,0
Aalborg,1.5386733300871094,3,49,16,3,2,5,5,1,0,0
Aalborg,1.4108447179335704,3,49,18,4,3,5,5,1,0,0
Aalborg,1.7360470241008903,3,49,19,5,3,5,5,1,0,0
Aalborg,1.4755797645079907,3,49,18,4,1,5,5,3,0,0
Aalborg,1.6705612348377503,2,49,22,5,3,5,5,4,0,0
Aalborg,1.661753952336184,1,49,20,4,4,5,5,2,0,0
Aalborg,1.719166330174741,3,49,18,3,3,5,5,2,0,0
Aalborg,1.337753035287181,2,49,15,3,1,5,5,1,0,0
Aalborg,1.5645453643484626,3,49,19,3,4,5,5,2,0,0
Aalborg,1.5963488732655748,2,49,18,2,2,5,5,4,0,0
Aalborg,1.6727182365358257,3,49,19,3,4,5,5,2,0,0
Aalborg,1.5694111755717115,3,49,17,4,1,5,5,2,0,0
Aalborg,1.6418495599422054,3,49,18,4,1,5,5,3,0,0
Aalborg,1.741161022617432,2,49,19,4,4,5,5,1,0,0
Aalborg,1.5414293553634393,2,49,20,3,4,5,5,3,0,0
Aalborg,1.4208562303717536,3,49,21,5,4,5,5,2,0,0
Aalborg,1.7274438544639796,3,49,17,5,2,5,5,0,0,0
Aalborg,1.5584390405574124,1,49,19,2,4,5,5,3,0,0
Aalborg,1.4804846068444568,2,49,16,3,1,5,5,2,0,0
Aalborg,1.692439613398548,1,49,20,4,3,5,5,3,0,0
Aalborg,1.4336415388291224,3,49,19,4,2,5,5,3,0,0
Aalborg,1.6699813651590485,2,49,16,3,2,5,5,1,0,0
Aalborg,1.6733151302529405,3,49,21,5,4,5,5,2,0,0
Aalborg,1.4947165759876317,1,49,20,4,3,5,5,3,0,0
Aalborg,1.49201763336563,1,49,16,3,3,5,5,0,0,0
Aalborg,1.711342083843711,3,49,18,4,3,5,5,1,0,0
Aalborg,1.5377542557046795,3,49,20,5,2,5,5,3,0,0
Aalborg,1.4236146769503553,3,49,19,3,2,5,5,4,0,0
Aalborg,1.8744336176228713,1,49,17,3,2,5,5,2,0,0
Aalborg,1.5681688399862883,3,49,21,4,4,5,5,3,0,0
Aalborg,1.7284600756992967,1,49,18,3,2,5,5,3,0,0
Aalborg,1.5085345480625834,3,49,22,4,4,5,5,4,0,0
Aalborg,1.707655989606319,3,49,20,4,2,5,5,4,0,0
Aalborg,2.068762574714997,1,49,22,5,4,5,5,3,0,0
Aalborg,1.6188843828682309,1,49,14,2,1,5,5,1,0,0
Aalborg,1.7056652048235341,3,49,22,5,5,5,5,2,0,0
Aalborg,1.6418180376822855,3,49,20,5,3,5,5,2,0,0
Aalborg,1.8191619214644725,2,49,17,3,2,5,5,2,0,0
Aalborg,1.7095930144017102,3,49,19,4,3,5,5,2,0,0
Aalborg,1.6913187292972636,2,49,18,4,4,5,5,0,0,0
Aalborg,1.719319214448771,2,49,19,3,3,5,5,3,0,0
Aalborg,1.5028876721732405,1,49,18,4,2,5,5,2,0,0
Aalborg,1.4081115928372911,1,49,19,4,2,5,5,3,0,0
Aalborg,1.89149491588908,3,49,23,5,4,5,5,4,0,0
Aalborg,1.6469903405777229,3,49,19,4,1,5,5,4,0,0
Aalborg,1.7725549126742253,3,49,18,4,2,5,5,2,0,0
Aalborg,1.7560293131806413,3,49,19,4,2,5,5,3,0,0
Aalborg,1.6392246639823405,1,49,18,3,2,5,5,3,0,0
Aalborg,1.4942557198732334,1,49,20,4,2,5,5,4,0,0
Aalborg,1.5283560742419786,3,49,22,4,4,5,5,4,0,0
Aalborg,1.6380146120428933,3,49,20,4,3,5,5,3,0,0
Aalborg,1.6750388580176645,3,49,20,3,3,5,5,4,0,0
Aalborg,1.5030229507679893,1,49,23,5,3,5,5,5,0,0
Aalborg,1.6955878615592468,2,49,22,5,3,5,5,4,0,0
Aalborg,1.7998923939465619,3,49,20,3,4,5,5,3,0,0
Aalborg,1.6726926838512652,3,49,15,3,1,5,5,1,0,0
Aalborg,1.3438088071148038,3,49,20,5,2,5,5,3,0,0
Aalborg,1.222294769547766,1,49,18,3,3,5,5,2,0,0
Aalborg,1.5372035728380602,1,49,18,3,4,5,5,1,0,0
Aalborg,1.6167341622697176,1,49,18,4,2,5,5,2,0,0
Aalborg,1.7506000245071969,2,49,24,5,4,5,5,5,0,0
Aalborg,1.835213278347207,3,49,20,5,2,5,5,3,0,0
Aalborg,1.5435110180929315,2,49,20,4,4,5,5,2,0,0
Aalborg,1.5075026330060555,1,49,21,4,3,5,5,4,0,0
Aalborg,1.7885968637692073,1,49,21,4,4,5,5,2,1,0
Aalborg,1.6404863822626083,3,49,19,3,3,5,5,3,0,0
Aalborg,1.631169827062361,1,49,22,4,5,5,5,3,0,0
Aalborg,1.71727534942158,3,49,20,5,2,5,5,3,0,0
Aalborg,1.537029467207948,3,49,19,2,3,5,5,4,0,0
Aalborg,1.8290599301499009,1,49,20,5,3,5,5,2,0,0
Aalborg,1.60973175009854,2,49,19,3,3,5,5,3,0,0
Aalborg,1.625612785827476,3,49,20,4,2,5,5,4,0,0
Aalborg,1.5155188137579416,3,49,21,4,3,5,5,4,0,0
Aalborg,1.418635248170182,3,49,19,4,2,5,5,3,0,0
Aalborg,1.4547285112658286,3,49,21,4,3,5,5,4,0,0
Aalborg,1.7456485029362572,2,49,21,3,4,5,5,4,0,0
Aalborg,1.5684162298414535,3,49,21,3,4,5,5,4,0,0
Aalborg,1.8141565951840304,1,49,22,4,4,5,5,4,0,0
Aalborg,2.0415107948975417,3,49,19,4,1,5,5,4,0,0
Aalborg,1.6314776171820262,2,49,21,4,4,5,5,3,0,0
Aalborg,1.4151988112530955,3,49,24,4,5,5,5,5,0,0
Aalborg,1.2708804633170743,3,49,24,5,4,5,5,5,0,0
Aalborg,1.6318205820137275,3,49,21,3,3,5,5,5,0,0
Aalborg,1.4770839136721083,1,49,20,3,4,5,5,3,0,0
