Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aabenraa,1.6418448837230606,1,49,1,0,1,0,0,0,0,0
Aabenraa,1.7105941675315706,2,49,7,1,0,1,2,2,1,0
Aabenraa,1.4308269040109363,1,49,2,0,0,2,0,0,0,0
Aabenraa,1.7298197726693612,3,49,2,0,0,1,0,1,0,0
Aabenraa,1.7649351791085859,3,49,6,0,2,2,2,0,0,0
Aabenraa,1.4563682230661492,2,49,4,1,0,1,0,1,0,1
Aabenraa,1.4839297690594604,2,49,4,0,2,1,1,0,0,0
Aabenraa,1.6286977098169368,3,49,3,0,0,1,1,1,0,0
Aabenraa,1.5438968568180547,3,49,6,2,0,1,2,0,1,0
Aabenraa,1.5432639628893576,3,49,7,0,1,1,1,2,1,1
Aabenraa,1.7451913268669048,3,49,4,0,0,1,1,1,0,1
Aabenraa,1.708743963315951,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.6202468643244385,3,49,5,0,1,1,2,1,0,0
Aabenraa,1.8288216147161318,3,49,5,0,0,1,1,1,1,1
Aabenraa,1.9578962279993943,3,49,7,1,0,1,3,2,0,0
Aabenraa,1.6377703472044076,3,49,3,0,0,0,1,1,1,0
Aabenraa,1.868854110623385,1,49,2,0,1,0,1,0,0,0
Aabenraa,1.7831859161211936,3,49,3,0,0,1,0,0,1,1
Aabenraa,2.137961078486951,3,49,3,1,0,1,0,1,0,0
Aabenraa,1.781065731514385,3,49,2,0,1,0,0,1,0,0
Aabenraa,1.5767528869191283,1,49,3,0,0,3,0,0,0,0
Aabenraa,1.99292237610186,3,49,4,1,1,0,2,0,0,0
Aabenraa,1.53968081050905,1,49,0,0,0,0,0,0,0,0
Aabenraa,1.723363209194307,2,49,4,0,0,1,1,1,0,1
Aabenraa,1.430215507169737,3,49,4,0,0,2,0,0,2,0
Aabenraa,1.6046351720064098,2,49,5,2,1,1,0,1,0,0
Aabenraa,1.3337502916237223,3,49,7,0,1,4,1,1,0,0
Aabenraa,2.0051379376683607,1,49,2,0,0,0,2,0,0,0
Aabenraa,1.4962761862677945,2,49,3,0,2,0,1,0,0,0
Aabenraa,1.794671873284972,3,49,4,0,0,1,1,1,1,0
Aabenraa,1.5305450084316259,3,49,4,0,1,2,0,0,1,0
Aabenraa,1.4914132324080616,3,49,4,0,0,1,2,0,1,0
Aabenraa,1.7161835771595404,3,49,7,0,0,2,1,2,2,0
Aabenraa,1.738085717831344,3,49,5,0,0,0,3,0,1,1
Aabenraa,1.5225767717018452,3,49,4,1,0,1,1,0,0,1
Aabenraa,1.682264228484495,3,49,6,1,1,2,0,0,1,1
Aabenraa,1.6453871786630103,3,49,3,0,0,1,1,0,1,0
Aabenraa,1.9853465653181717,3,49,2,1,1,0,0,0,0,0
Aabenraa,1.7778215990237718,1,49,4,0,1,1,1,1,0,0
Aabenraa,1.5087122898150396,3,49,4,0,1,2,0,1,0,0
Aabenraa,1.6759345432298058,3,49,5,1,0,1,0,1,0,2
Aabenraa,1.554816667068204,1,49,2,0,0,1,1,0,0,0
Aabenraa,2.039569751076119,3,49,6,0,0,2,2,2,0,0
Aabenraa,1.5722168573025768,2,49,5,0,1,2,1,0,1,0
Aabenraa,1.5833808663080207,3,49,6,0,0,2,2,1,0,1
Aabenraa,1.516649198951029,1,49,3,0,1,1,0,1,0,0
Aabenraa,1.6873473383719824,2,49,3,0,1,1,1,0,0,0
Aabenraa,1.7191072734037312,3,49,2,0,0,0,2,0,0,0
Aabenraa,1.8328127072176963,3,49,3,0,0,2,1,0,0,0
Aabenraa,1.5933697748550462,1,49,0,0,0,0,0,0,0,0
Aabenraa,1.7515857352497335,2,49,2,0,0,0,1,0,1,0
Aabenraa,1.5398583374055557,3,49,3,0,1,1,0,0,0,1
Aabenraa,1.670733208590563,2,49,6,0,1,1,2,0,1,1
Aabenraa,1.5428564028990936,3,49,6,0,0,0,2,4,0,0
Aabenraa,1.4913605735403626,3,49,3,1,1,0,0,1,0,0
Aabenraa,1.6928060000415033,3,49,6,0,0,3,1,1,0,1
Aabenraa,1.7001624092695249,3,49,2,0,0,0,1,1,0,0
Aabenraa,1.6889129575166848,3,49,5,0,0,1,2,0,1,1
Aabenraa,1.3841211125245578,1,49,0,0,0,0,0,0,0,0
Aabenraa,1.7335467028193998,3,49,6,0,0,0,3,2,1,0
Aabenraa,1.977136820656386,3,49,2,0,0,1,1,0,0,0
Aabenraa,1.4015453919878507,3,49,4,0,0,1,1,1,0,1
Aabenraa,1.5639738902089633,1,49,1,0,0,1,0,0,0,0
Aabenraa,1.4000614006759986,3,49,3,0,1,0,0,0,1,1
Aabenraa,1.8621881966647735,3,49,2,0,0,1,0,1,0,0
Aabenraa,1.5333143549090777,3,49,2,0,0,0,2,0,0,0
Aabenraa,1.8598205807036936,3,49,2,0,0,2,0,0,0,0
Aabenraa,1.4176437548816587,3,49,2,0,0,1,0,0,1,0
Aabenraa,1.6106064579425952,1,49,2,1,0,1,0,0,0,0
Aabenraa,1.488324774498421,3,49,5,0,1,1,2,1,0,0
Aabenraa,1.6706790564902372,3,49,5,0,1,3,1,0,0,0
Aabenraa,1.5661869179326044,3,49,4,0,1,1,1,1,0,0
Aabenraa,1.7378478305408085,2,49,2,1,0,0,0,1,0,0
Aabenraa,1.8738758713187837,3,49,3,0,1,1,0,1,0,0
Aabenraa,1.9857294080025367,3,49,8,0,1,2,1,2,0,2
Aabenraa,1.9234283607187286,3,49,2,0,0,1,1,0,0,0
Aabenraa,1.626728786754368,3,49,3,0,1,0,2,0,0,0
Aabenraa,1.3343261838664153,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.6449075339136965,3,49,4,0,1,2,0,0,0,1
Aabenraa,1.7689086884636636,3,49,5,0,0,1,0,3,1,0
Aabenraa,1.449023027601025,2,49,9,1,1,2,1,1,2,1
Aabenraa,1.9131776295551146,1,49,2,0,1,0,0,1,0,0
Aabenraa,1.6512007157411444,3,49,5,0,0,2,2,0,0,1
