Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aabenraa,1.5097080261460234,2,49,1,0,0,0,1,0,0,0
Aabenraa,1.6894997746437497,3,49,3,0,1,1,0,1,0,0
Aabenraa,1.7012596332624357,1,49,2,0,0,1,0,1,0,0
Aabenraa,1.8536339322774553,3,49,3,0,1,1,1,0,0,0
Aabenraa,1.331036259305859,1,49,2,1,0,0,1,0,0,0
Aabenraa,2.21953256368035,3,49,3,0,0,1,1,1,0,0
Aabenraa,1.6412212168760694,3,49,1,0,0,1,0,0,0,0
Aabenraa,1.7536691120068992,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.7248741067312714,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.8231992193286861,1,49,3,0,1,0,1,1,0,0
Aabenraa,1.604758563957791,1,49,3,0,1,2,0,0,0,0
Aabenraa,1.7995718245228507,3,49,3,0,0,2,1,0,0,0
Aabenraa,1.6616798450723744,3,49,2,0,0,1,0,1,0,0
Aabenraa,1.4647465255734882,3,49,2,0,0,1,1,0,0,0
Aabenraa,1.8683661340069848,2,49,1,0,0,1,0,0,0,0
Aabenraa,1.7366383218156605,2,49,1,0,1,0,0,0,0,0
Aabenraa,1.7081435805734384,1,49,3,0,0,1,1,1,0,0
Aabenraa,1.8194871890646056,1,49,2,0,1,0,1,0,0,0
Aabenraa,1.798644244831309,3,49,3,0,0,1,1,1,0,0
Aabenraa,1.6846710566874556,3,49,2,0,0,1,1,0,0,0
Aabenraa,1.5796786028865746,3,49,3,0,0,1,1,1,0,0
Aabenraa,1.9640255063272574,1,49,1,0,0,1,0,0,0,0
Aabenraa,1.3612073965511167,3,49,1,0,1,0,0,0,0,0
Aabenraa,1.7736984911503224,3,49,1,0,0,1,0,0,0,0
Aabenraa,1.3857699783648267,3,49,1,0,0,0,0,0,1,0
Aabenraa,1.660231013690415,2,49,3,0,0,1,2,0,0,0
Aabenraa,1.5058934074034624,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.850265246202037,1,49,1,0,0,0,1,0,0,0
Aabenraa,1.3292953448305278,2,49,1,0,0,1,0,0,0,0
Aabenraa,1.7364659598508554,1,49,1,0,0,1,0,0,0,0
Aabenraa,1.995649844711046,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.4270827516061728,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.89918481729968,1,49,2,0,0,1,0,0,1,0
Aabenraa,1.424620185982691,3,49,2,0,0,0,1,1,0,0
Aabenraa,1.7642355514450803,2,49,2,0,1,0,1,0,0,0
Aabenraa,1.671317460371069,2,49,5,0,0,2,2,1,0,0
Aabenraa,1.9274254302648517,1,49,4,0,0,2,1,1,0,0
Aabenraa,1.8282927152589934,3,49,2,0,0,0,2,0,0,0
Aabenraa,1.6518883853608537,3,49,2,0,0,1,1,0,0,0
Aabenraa,1.7313841320029373,2,49,3,0,2,0,1,0,0,0
Aabenraa,1.933500768227183,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.724160544725921,2,49,2,0,0,1,1,0,0,0
Aabenraa,1.8108577786973226,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.5037756785276795,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.7806045907703643,1,49,2,0,0,0,1,1,0,0
Aabenraa,1.8850231553725902,3,49,4,1,0,1,1,1,0,0
Aabenraa,1.6480858380911496,1,49,3,0,0,1,1,1,0,0
Aabenraa,1.6962839285808478,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.7133511927886982,3,49,4,0,0,3,1,0,0,0
Aabenraa,1.6221565752975249,2,49,2,0,1,0,0,1,0,0
Aabenraa,1.681963175303822,3,49,4,0,0,2,0,2,0,0
Aabenraa,1.8042223533460497,3,49,4,0,0,1,3,0,0,0
Aabenraa,1.91981742569252,2,49,2,0,0,0,1,1,0,0
Aabenraa,1.8743910917108106,2,49,0,0,0,0,0,0,0,0
Aabenraa,1.7910783089828726,3,49,2,0,1,0,1,0,0,0
Aabenraa,1.5565219691890213,1,49,1,0,1,0,0,0,0,0
Aabenraa,1.6332674766295467,3,49,2,0,0,1,1,0,0,0
Aabenraa,1.8774180530281748,1,49,3,0,0,2,0,1,0,0
Aabenraa,1.7476512929569807,2,49,0,0,0,0,0,0,0,0
Aabenraa,1.4659500335113955,3,49,2,0,0,2,0,0,0,0
Aabenraa,1.8498159374285197,3,49,2,0,1,1,0,0,0,0
Aabenraa,1.5913392244261497,1,49,2,0,0,1,0,1,0,0
Aabenraa,1.401420372381371,3,49,1,0,0,1,0,0,0,0
Aabenraa,1.7932250363004816,3,49,2,0,0,0,1,1,0,0
Aabenraa,1.6640084338516867,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.9834331572659814,1,49,1,0,0,0,1,0,0,0
Aabenraa,1.5045240645175357,3,49,1,0,0,0,1,0,0,0
Aabenraa,1.7664592963151675,3,49,3,0,1,1,0,1,0,0
Aabenraa,1.8627059552022593,2,49,2,0,1,1,0,0,0,0
Aabenraa,1.869629794682938,1,49,0,0,0,0,0,0,0,0
Aabenraa,1.3871051257999178,1,49,2,0,0,1,1,0,0,0
Aabenraa,1.731051435029879,3,49,2,0,0,1,1,0,0,0
Aabenraa,1.6128474320365358,3,49,2,0,1,1,0,0,0,0
Aabenraa,1.4923095892823204,2,49,2,0,0,0,1,1,0,0
Aabenraa,1.9125853897041258,3,49,2,0,0,1,1,0,0,0
Aabenraa,1.6830282813542632,3,49,2,0,0,0,2,0,0,0
Aabenraa,1.5537426672092192,2,49,1,0,0,0,1,0,0,0
Aabenraa,1.8008218000886926,3,49,0,0,0,0,0,0,0,0
Aabenraa,1.7762740502972767,1,49,4,0,1,3,0,0,0,0
Aabenraa,1.6814993598330024,2,49,0,0,0,0,0,0,0,0
Aabenraa,1.7039034945003948,2,49,1,0,0,0,1,0,0,0
Aabenraa,1.8932729505294121,3,49,1,0,1,0,0,0,0,0
Aabenraa,2.015405033795942,3,49,3,0,0,1,1,1,0,0
Aalborg,1.5324544983316377,3,49,1,0,0,1,0,0,0,0
Aalborg,1.581536031158982,3,49,3,0,0,1,1,0,1,0
Aalborg,1.3631220702351645,1,49,3,0,0,2,0,0,1,0
Aalborg,1.7155304768949065,3,49,1,0,0,0,1,0,0,0
Aalborg,1.8332611521673463,3,49,1,0,0,0,1,0,0,0
Aalborg,1.80165245133202,3,49,4,0,1,1,2,0,0,0
Aalborg,1.687667384666769,3,49,2,0,0,2,0,0,0,0
Aalborg,1.7504782711676685,1,49,2,0,0,2,0,0,0,0
Aalborg,1.4755238643257957,1,49,2,0,0,0,2,0,0,0
Aalborg,1.3064528909066926,3,49,2,0,1,1,0,0,0,0
Aalborg,1.5020943252495136,3,49,3,0,0,2,0,0,1,0
Aalborg,1.4012428314879557,3,49,4,0,1,2,0,1,0,0
