municipalities,Samlet_fertilitet,15-19 aar,20-24 aar,25-29 aar,30-34 aar,35-39 aar,40-44 aar,45-49 aar,fertilitetsrate,Price,econ_score
Aabenraa,1661.5,6.5,40.7,119.3,118.3,43.8,3.8,0,1.7,1671500,2
Aalborg,1629,7.4,25.6,111.8,125.3,47.9,7.4,0.2,1.6,1989200,2
Aarhus,1587.7,6.1,25.1,89.9,126.5,60.1,9.5,0.2,1.6,2699000,3
Albertslund,1716.2,6.2,47,123.6,108.9,43,14.6,0,1.7,1446200,1
Assens,2193.6,6.4,93.4,183.5,104.9,40.7,9.9,0,2.2,1460800,1
Ballerup,1823.4,9.8,52,141.5,110.5,42.3,8.6,0,1.8,1872400,2
Billund,1856.2,3.4,39.8,117.1,153,46.9,11,0,1.9,1805300,2
Esbjerg,1654.9,7.9,50.8,121,116.3,32.6,2.4,0,1.7,1866800,2
Fredericia,1780.8,11.3,46.7,142,113.1,37.9,5,0,1.8,1666600,2
Frederiksberg,1548.1,3.5,20.1,78.9,120.3,70.1,16.4,0.4,1.5,3365100,3
Frederikshavn,1899,4.8,50.8,185.7,92.5,40.3,5.7,0,1.9,1510300,1
Frederikssund,2022.1,6.3,61,153.8,122.4,51.4,7.8,1.6,2,1902000,2
Gentofte,1919.1,0.6,15.2,107.3,161.5,81,17.8,0.4,1.9,7413700,3
Gladsaxe,2030.3,6.4,43.2,140.5,138.3,66.5,11.1,0,2,2212300,3
Glostrup,1749.4,0,54.2,120.6,122.1,44.9,8.1,0,1.7,1711100,2
Greve,1895.1,3.8,38.4,146.9,142.1,41.3,6.6,0,1.9,2344600,3
Haderslev,1706.8,10.2,45.8,114.9,123.1,42.3,5.1,0,1.7,1625000,2
Hedensted,2145.3,2,60.2,195.7,130.1,36.2,1.5,3.5,2.1,2107000,3
Herlev,1757.9,8.6,32.8,144.1,109.9,46.6,9.7,0,1.8,1762600,2
Herning,1988,1.2,40,145.2,144.3,59.8,7.2,0,2,2084800,2
Holstebro,1830.3,3.6,29,150,142.7,36.2,4.6,0,1.8,1879300,2
Horsens,1848.2,7.1,52.2,143.5,116.1,41.2,9.6,0,1.8,1809800,2
Hvidovre,1814.3,5,37.3,133.6,127,49.4,10.6,0,1.8,1757800,2
Kalundborg,2158.1,4.8,65,167,131.3,51.3,12.2,0,2.2,1573300,1
Kerteminde,1666.7,0,43.5,119.8,134.6,28,7.5,0,1.7,1663700,2
Kolding,1718.6,6,37,116.2,133.5,44.3,6.3,0.5,1.7,2024300,2
Lejre,2167.9,0,45.5,139.1,164.8,73.4,10.9,0,2.2,2128800,3
Lemvig,2205.7,8.8,73.8,173.5,134.9,40.8,9.4,0,2.2,1777700,2
Middelfart,1947.6,6.7,43.3,159.9,132.4,38.3,8.9,0,1.9,1964900,2
Nyborg,1705.6,7.5,46,140,102.7,40.6,4.3,0,1.7,1560000,1
Odder,2391.5,0,94.7,150.3,179.1,42.3,11.9,0,2.4,2053900,2
Odense,1611.9,8.3,32.8,105.3,123,46.4,6.2,0.3,1.6,1901100,2
Randers,1656.1,8.3,44.4,126.1,107.1,39.4,5.4,0.5,1.7,1541400,1
Ringsted,2067.7,8.2,65.7,151.6,130.9,46.8,8.4,1.9,2.1,1822500,2
Roskilde,1690.4,2.5,33.8,106.1,129.1,54,12.6,0,1.7,2557900,3
Silkeborg,1901.1,5.5,33.4,152,136.8,41.8,10.3,0.5,1.9,2154300,3
Skanderborg,2177.2,0,32.2,194.5,151.7,48,9,0,2.2,2343700,3
Skive,1816.4,3.6,45.3,135.4,134.8,40.9,3.2,0,1.8,1709600,2
Slagelse,1646.3,9.4,43.2,121.8,109.5,38.3,7,0,1.6,1523200,1
Stevns,2166.9,13.6,97.6,156.5,108.2,44.2,13.4,0,2.2,1777400,2
Struer,2020.1,4.8,53.7,178.8,123.3,37.4,6,0,2,1535500,1
Svendborg,1835.6,2.9,32.7,142.9,138.3,47.8,2.5,0,1.8,1845900,2
Thisted,2233.7,3,61.6,185.4,147.9,42.2,5.7,1,2.2,1697400,2
Varde,1811.6,8.2,33.9,143.9,126.6,42.8,6.9,0,1.8,1720900,2
Vejen,2032.2,3.8,78.2,157.9,122.6,39.4,4.6,0,2,1683400,2
Vejle,1718.9,7.6,40,116,125.6,49,5.7,0,1.7,2082100,2
Viborg,1811.2,6.2,33.5,130,141.4,43.5,7,0.7,1.8,1920100,2
Vordingborg,1937.3,4.8,61,167.7,116.1,31.5,5.1,1.3,1.9,1475400,1
