"","Municipality","Fertility.Rate","socio_economic_class","Age","Children","Age_Group"
"1","Aabenraa",1.50970802614602,"2",49,1,"3034"
"2","Aabenraa",1.68949977464375,"3",49,3,"2024"
"3","Aabenraa",1.68949977464375,"3",49,3,"2529"
"4","Aabenraa",1.68949977464375,"3",49,3,"3539"
"5","Aabenraa",1.70125963326244,"1",49,2,"2529"
"6","Aabenraa",1.70125963326244,"1",49,2,"3539"
"7","Aabenraa",1.85363393227746,"3",49,3,"2024"
"8","Aabenraa",1.85363393227746,"3",49,3,"2529"
"9","Aabenraa",1.85363393227746,"3",49,3,"3034"
"10","Aabenraa",1.33103625930586,"1",49,2,"1519"
"11","Aabenraa",1.33103625930586,"1",49,2,"3034"
"12","Aabenraa",2.21953256368035,"3",49,3,"2529"
"13","Aabenraa",2.21953256368035,"3",49,3,"3034"
"14","Aabenraa",2.21953256368035,"3",49,3,"3539"
"15","Aabenraa",1.64122121687607,"3",49,1,"2529"
"16","Aabenraa",1.7536691120069,"3",49,1,"3034"
"17","Aabenraa",1.72487410673127,"3",49,1,"3034"
"18","Aabenraa",1.82319921932869,"1",49,3,"2024"
"19","Aabenraa",1.82319921932869,"1",49,3,"3034"
"20","Aabenraa",1.82319921932869,"1",49,3,"3539"
"21","Aabenraa",1.60475856395779,"1",49,3,"2024"
"22","Aabenraa",1.60475856395779,"1",49,3,"2529"
"23","Aabenraa",1.60475856395779,"1",49,3,"2529"
"24","Aabenraa",1.79957182452285,"3",49,3,"2529"
"25","Aabenraa",1.79957182452285,"3",49,3,"2529"
"26","Aabenraa",1.79957182452285,"3",49,3,"3034"
"27","Aabenraa",1.66167984507237,"3",49,2,"2529"
"28","Aabenraa",1.66167984507237,"3",49,2,"3539"
"29","Aabenraa",1.46474652557349,"3",49,2,"2529"
"30","Aabenraa",1.46474652557349,"3",49,2,"3034"
"31","Aabenraa",1.86836613400698,"2",49,1,"2529"
"32","Aabenraa",1.73663832181566,"2",49,1,"2024"
"33","Aabenraa",1.70814358057344,"1",49,3,"2529"
"34","Aabenraa",1.70814358057344,"1",49,3,"3034"
"35","Aabenraa",1.70814358057344,"1",49,3,"3539"
"36","Aabenraa",1.81948718906461,"1",49,2,"2024"
"37","Aabenraa",1.81948718906461,"1",49,2,"3034"
"38","Aabenraa",1.79864424483131,"3",49,3,"2529"
"39","Aabenraa",1.79864424483131,"3",49,3,"3034"
"40","Aabenraa",1.79864424483131,"3",49,3,"3539"
"41","Aabenraa",1.68467105668746,"3",49,2,"2529"
"42","Aabenraa",1.68467105668746,"3",49,2,"3034"
"43","Aabenraa",1.57967860288657,"3",49,3,"2529"
