"","Municipality","Fertility.Rate","socio_economic_class","Age","Children","Age_Group"
"1","Aabenraa",1.481094613521,"3",49,2,"2024"
"2","Aabenraa",1.481094613521,"3",49,2,"3539"
"3","Aabenraa",1.76020734828395,"3",49,2,"2529"
"4","Aabenraa",1.76020734828395,"3",49,2,"2529"
"5","Aabenraa",1.3537240732643,"1",49,2,"3034"
"6","Aabenraa",1.3537240732643,"1",49,2,"3034"
"7","Aabenraa",1.79509799053316,"1",49,1,"3034"
"8","Aabenraa",1.68526077982811,"1",49,4,"2529"
"9","Aabenraa",1.68526077982811,"1",49,4,"3034"
"10","Aabenraa",1.68526077982811,"1",49,4,"3034"
"11","Aabenraa",1.68526077982811,"1",49,4,"3539"
"12","Aabenraa",1.65189466082333,"3",49,3,"2529"
"13","Aabenraa",1.65189466082333,"3",49,3,"2529"
"14","Aabenraa",1.65189466082333,"3",49,3,"3034"
"15","Aabenraa",1.77328823675646,"2",49,3,"2024"
"16","Aabenraa",1.77328823675646,"2",49,3,"3034"
"17","Aabenraa",1.77328823675646,"2",49,3,"4044"
"18","Aabenraa",1.80223408163484,"1",49,1,"3539"
"19","Aabenraa",1.80367441060609,"2",49,2,"2529"
"20","Aabenraa",1.80367441060609,"2",49,2,"3034"
"21","Aabenraa",1.89014405695666,"3",49,1,"3034"
"22","Aabenraa",1.60395076149124,"3",49,1,"3034"
"23","Aabenraa",1.99734006590855,"1",49,2,"2024"
"24","Aabenraa",1.99734006590855,"1",49,2,"3034"
"25","Aabenraa",1.45272220039474,"3",49,2,"3539"
"26","Aabenraa",1.45272220039474,"3",49,2,"3539"
"27","Aabenraa",1.66452705775303,"3",49,3,"1519"
"28","Aabenraa",1.66452705775303,"3",49,3,"3034"
"29","Aabenraa",1.66452705775303,"3",49,3,"3034"
"30","Aabenraa",1.6330371101665,"1",49,2,"3034"
"31","Aabenraa",1.6330371101665,"1",49,2,"3539"
"32","Aabenraa",1.75969834494809,"3",49,1,"2529"
"33","Aabenraa",1.50076418539479,"3",49,2,"2529"
"34","Aabenraa",1.50076418539479,"3",49,2,"3034"
"35","Aabenraa",1.8308870691079,"3",49,3,"1519"
"36","Aabenraa",1.8308870691079,"3",49,3,"2529"
"37","Aabenraa",1.8308870691079,"3",49,3,"3034"
"38","Aabenraa",1.82104512974181,"3",49,2,"3034"
"39","Aabenraa",1.82104512974181,"3",49,2,"3539"
"40","Aabenraa",1.70669453624788,"3",49,4,"2024"
"41","Aabenraa",1.70669453624788,"3",49,4,"2529"
"42","Aabenraa",1.70669453624788,"3",49,4,"3539"
"43","Aabenraa",1.70669453624788,"3",49,4,"3539"
"44","Aabenraa",1.5786350805062,"3",49,1,"3034"
"45","Aabenraa",1.57346962568067,"3",49,1,"2529"
"46","Aabenraa",1.75522346037364,"3",49,2,"1519"
"47","Aabenraa",1.75522346037364,"3",49,2,"3034"
"48","Aabenraa",1.63531303736577,"3",49,1,"2529"
"49","Aabenraa",1.7877246294241,"2",49,2,"2529"
"50","Aabenraa",1.7877246294241,"2",49,2,"3034"
"51","Aabenraa",1.64127419610914,"3",49,3,"2024"
"52","Aabenraa",1.64127419610914,"3",49,3,"2529"
"53","Aabenraa",1.64127419610914,"3",49,3,"3539"
"54","Aabenraa",1.36321411957884,"2",49,4,"2529"
"55","Aabenraa",1.36321411957884,"2",49,4,"2529"
"56","Aabenraa",1.36321411957884,"2",49,4,"3034"
"57","Aabenraa",1.36321411957884,"2",49,4,"3539"
"58","Aabenraa",1.69565643736141,"3",49,1,"2024"
"59","Aabenraa",1.55011718687613,"3",49,3,"2529"
"60","Aabenraa",1.55011718687613,"3",49,3,"3034"
"61","Aabenraa",1.55011718687613,"3",49,3,"3539"
"62","Aabenraa",1.62854468347251,"1",49,1,"3034"
"63","Aabenraa",1.70335156946249,"3",49,2,"2529"
"64","Aabenraa",1.70335156946249,"3",49,2,"3034"
"65","Aabenraa",1.71431575837287,"2",49,3,"2529"
"66","Aabenraa",1.71431575837287,"2",49,3,"3034"
"67","Aabenraa",1.71431575837287,"2",49,3,"3539"
"68","Aabenraa",1.59779091573973,"3",49,2,"3034"
"69","Aabenraa",1.59779091573973,"3",49,2,"3034"
"70","Aabenraa",1.6751609017815,"3",49,2,"3034"
"71","Aabenraa",1.6751609017815,"3",49,2,"3034"
"72","Aabenraa",1.65089202072834,"2",49,3,"3034"
"73","Aabenraa",1.65089202072834,"2",49,3,"3034"
"74","Aabenraa",1.65089202072834,"2",49,3,"3539"
"75","Aabenraa",1.66107139331947,"3",49,3,"2529"
"76","Aabenraa",1.66107139331947,"3",49,3,"3034"
"77","Aabenraa",1.66107139331947,"3",49,3,"3539"
"78","Aabenraa",1.99232557022855,"3",49,2,"2529"
"79","Aabenraa",1.99232557022855,"3",49,2,"4044"
"80","Aabenraa",1.72562847389042,"3",49,2,"3034"
"81","Aabenraa",1.72562847389042,"3",49,2,"3034"
"82","Aabenraa",2.08752851230464,"3",49,2,"2529"
"83","Aabenraa",2.08752851230464,"3",49,2,"2529"
"84","Aabenraa",1.67969963216434,"2",49,4,"2529"
"85","Aabenraa",1.67969963216434,"2",49,4,"2529"
"86","Aabenraa",1.67969963216434,"2",49,4,"2529"
"87","Aabenraa",1.67969963216434,"2",49,4,"2529"
"88","Aabenraa",1.61566616616308,"3",49,2,"2529"
"89","Aabenraa",1.61566616616308,"3",49,2,"2529"
"90","Aabenraa",1.71723414726856,"3",49,3,"2529"
"91","Aabenraa",1.71723414726856,"3",49,3,"3539"
"92","Aabenraa",1.71723414726856,"3",49,3,"4044"
"93","Aabenraa",1.63396747516482,"3",49,2,"2529"
"94","Aabenraa",1.63396747516482,"3",49,2,"3034"
"95","Aabenraa",1.70382449698543,"2",49,4,"2024"
"96","Aabenraa",1.70382449698543,"2",49,4,"2529"
"97","Aabenraa",1.70382449698543,"2",49,4,"2529"
"98","Aabenraa",1.70382449698543,"2",49,4,"3034"
"99","Aabenraa",1.68834561309171,"1",49,4,"2024"
"100","Aabenraa",1.68834561309171,"1",49,4,"2529"
"101","Aabenraa",1.68834561309171,"1",49,4,"3034"
"102","Aabenraa",1.68834561309171,"1",49,4,"3034"
"103","Aabenraa",1.68342104392622,"3",49,2,"2529"
"104","Aabenraa",1.68342104392622,"3",49,2,"3539"
"105","Aabenraa",1.94340848541878,"3",49,2,"2529"
"106","Aabenraa",1.94340848541878,"3",49,2,"3034"
"107","Aabenraa",1.61795266968559,"3",49,4,"2529"
"108","Aabenraa",1.61795266968559,"3",49,4,"3034"
"109","Aabenraa",1.61795266968559,"3",49,4,"3034"
"110","Aabenraa",1.61795266968559,"3",49,4,"4044"
"111","Aabenraa",1.37364489874975,"1",49,3,"2529"
"112","Aabenraa",1.37364489874975,"1",49,3,"3034"
"113","Aabenraa",1.37364489874975,"1",49,3,"3034"
"114","Aabenraa",1.68602318149119,"1",49,1,"3034"
"115","Aabenraa",1.6054101718494,"1",49,3,"2024"
"116","Aabenraa",1.6054101718494,"1",49,3,"2024"
"117","Aabenraa",1.6054101718494,"1",49,3,"3034"
"118","Aabenraa",1.81916093460268,"2",49,2,"2529"
"119","Aabenraa",1.81916093460268,"2",49,2,"2529"
"120","Aabenraa",1.31572688803071,"1",49,1,"2024"
"121","Aabenraa",1.71697056511634,"2",49,1,"2529"
"122","Aabenraa",1.71842149161729,"3",49,1,"2529"
"123","Aabenraa",2.05221901216386,"1",49,1,"3539"
"124","Aabenraa",1.51354044629278,"1",49,2,"3034"
"125","Aabenraa",1.51354044629278,"1",49,2,"3539"
"126","Aabenraa",1.87737838791312,"3",49,2,"2529"
"127","Aabenraa",1.87737838791312,"3",49,2,"2529"
"128","Aabenraa",1.68343007820162,"3",49,4,"2529"
"129","Aabenraa",1.68343007820162,"3",49,4,"3034"
"130","Aabenraa",1.68343007820162,"3",49,4,"3539"
"131","Aabenraa",1.68343007820162,"3",49,4,"3539"
"132","Aabenraa",1.95607958218586,"3",49,2,"2024"
"133","Aabenraa",1.95607958218586,"3",49,2,"2529"
"134","Aabenraa",1.94254236465813,"3",49,3,"2024"
"135","Aabenraa",1.94254236465813,"3",49,3,"3034"
"136","Aabenraa",1.94254236465813,"3",49,3,"3034"
"137","Aabenraa",1.67188623942896,"3",49,4,"1519"
"138","Aabenraa",1.67188623942896,"3",49,4,"2529"
"139","Aabenraa",1.67188623942896,"3",49,4,"3034"
"140","Aabenraa",1.67188623942896,"3",49,4,"3539"
"141","Aabenraa",1.79433460881417,"2",49,7,"2529"
