"","Municipality","Fertility.Rate","socio_economic_class","Age","Children","Age_Group"
"1","Aabenraa",1.66099428094037,"3",49,1,"2529"
"2","Aabenraa",1.47414743541132,"3",49,3,"2024"
"3","Aabenraa",1.47414743541132,"3",49,3,"2529"
"4","Aabenraa",1.47414743541132,"3",49,3,"3034"
"5","Aabenraa",1.71604417517995,"2",49,4,"2024"
"6","Aabenraa",1.71604417517995,"2",49,4,"3034"
"7","Aabenraa",1.71604417517995,"2",49,4,"3034"
"8","Aabenraa",1.71604417517995,"2",49,4,"3539"
"9","Aabenraa",1.46845153869179,"3",49,1,"3034"
"10","Aabenraa",1.44218401308807,"2",49,3,"2529"
"11","Aabenraa",1.44218401308807,"2",49,3,"2529"
"12","Aabenraa",1.44218401308807,"2",49,3,"3034"
"13","Aabenraa",1.83581271744703,"3",49,2,"2024"
"14","Aabenraa",1.83581271744703,"3",49,2,"3034"
"15","Aabenraa",1.86061880054806,"1",49,3,"2024"
"16","Aabenraa",1.86061880054806,"1",49,3,"2529"
"17","Aabenraa",1.86061880054806,"1",49,3,"3539"
"18","Aabenraa",1.69522063562812,"3",49,1,"3034"
"19","Aabenraa",1.83084434272177,"2",49,1,"2024"
"20","Aabenraa",1.79153421450275,"3",49,1,"3034"
"21","Aabenraa",1.95481175235792,"3",49,1,"3034"
"22","Aabenraa",1.9373285762352,"1",49,2,"2529"
"23","Aabenraa",1.9373285762352,"1",49,2,"3034"
"24","Aabenraa",1.48894134924865,"1",49,2,"2529"
"25","Aabenraa",1.48894134924865,"1",49,2,"3034"
"26","Aabenraa",1.67038635326803,"3",49,2,"2024"
"27","Aabenraa",1.67038635326803,"3",49,2,"3034"
"28","Aabenraa",1.66238676741399,"3",49,2,"2529"
"29","Aabenraa",1.66238676741399,"3",49,2,"3034"
"30","Aabenraa",1.67589716936592,"3",49,1,"2529"
"31","Aabenraa",1.90406283619041,"3",49,2,"2529"
"32","Aabenraa",1.90406283619041,"3",49,2,"3034"
"33","Aabenraa",1.91397041401571,"3",49,3,"2529"
"34","Aabenraa",1.91397041401571,"3",49,3,"3034"
"35","Aabenraa",1.91397041401571,"3",49,3,"3034"
"36","Aabenraa",1.29418057534931,"1",49,4,"2529"
"37","Aabenraa",1.29418057534931,"1",49,4,"3034"
"38","Aabenraa",1.29418057534931,"1",49,4,"3034"
"39","Aabenraa",1.29418057534931,"1",49,4,"3539"
"40","Aabenraa",1.87052396808217,"1",49,4,"2024"
"41","Aabenraa",1.87052396808217,"1",49,4,"2529"
"42","Aabenraa",1.87052396808217,"1",49,4,"2529"
"43","Aabenraa",1.87052396808217,"1",49,4,"2529"
"44","Aabenraa",1.5136714818306,"1",49,2,"2529"
"45","Aabenraa",1.5136714818306,"1",49,2,"3034"
"46","Aabenraa",1.77136646606733,"2",49,3,"2024"
"47","Aabenraa",1.77136646606733,"2",49,3,"3034"
"48","Aabenraa",1.77136646606733,"2",49,3,"3034"
"49","Aabenraa",1.48785428014658,"3",49,2,"3034"
"50","Aabenraa",1.48785428014658,"3",49,2,"3034"
"51","Aabenraa",1.75835418085355,"3",49,2,"2529"
"52","Aabenraa",1.75835418085355,"3",49,2,"3034"
"53","Aabenraa",1.68729327651506,"1",49,2,"3034"
"54","Aabenraa",1.68729327651506,"1",49,2,"3034"
"55","Aabenraa",1.96233956197323,"3",49,2,"2024"
"56","Aabenraa",1.96233956197323,"3",49,2,"2529"
"57","Aabenraa",1.67438058115422,"1",49,4,"2024"
"58","Aabenraa",1.67438058115422,"1",49,4,"2529"
"59","Aabenraa",1.67438058115422,"1",49,4,"3034"
"60","Aabenraa",1.67438058115422,"1",49,4,"3539"
"61","Aabenraa",1.7263760420766,"3",49,1,"2529"
"62","Aabenraa",1.61523919308196,"1",49,3,"2024"
"63","Aabenraa",1.61523919308196,"1",49,3,"2529"
"64","Aabenraa",1.61523919308196,"1",49,3,"3034"
"65","Aabenraa",1.75250215069886,"2",49,3,"2529"
"66","Aabenraa",1.75250215069886,"2",49,3,"2529"
"67","Aabenraa",1.75250215069886,"2",49,3,"3034"
"68","Aabenraa",1.50950586286218,"3",49,3,"3034"
"69","Aabenraa",1.50950586286218,"3",49,3,"3034"
"70","Aabenraa",1.50950586286218,"3",49,3,"3539"
"71","Aabenraa",1.91113228284971,"3",49,5,"2529"
"72","Aabenraa",1.91113228284971,"3",49,5,"2529"
"73","Aabenraa",1.91113228284971,"3",49,5,"3034"
"74","Aabenraa",1.91113228284971,"3",49,5,"3034"
"75","Aabenraa",1.91113228284971,"3",49,5,"3034"
"76","Aabenraa",1.33047405365507,"3",49,2,"2529"
"77","Aabenraa",1.33047405365507,"3",49,2,"3034"
"78","Aabenraa",2.00208176400326,"3",49,3,"2529"
"79","Aabenraa",2.00208176400326,"3",49,3,"3034"
"80","Aabenraa",2.00208176400326,"3",49,3,"3539"
"81","Aabenraa",1.66866125950269,"3",49,2,"2529"
"82","Aabenraa",1.66866125950269,"3",49,2,"3034"
"83","Aabenraa",1.83141987335622,"2",49,4,"2529"
"84","Aabenraa",1.83141987335622,"2",49,4,"3034"
"85","Aabenraa",1.83141987335622,"2",49,4,"3034"
"86","Aabenraa",1.83141987335622,"2",49,4,"3539"
"87","Aabenraa",1.2599802660137,"1",49,2,"2024"
"88","Aabenraa",1.2599802660137,"1",49,2,"2529"
"89","Aabenraa",1.61890601179877,"3",49,1,"3539"
"90","Aabenraa",1.5907605419022,"3",49,3,"2529"
"91","Aabenraa",1.5907605419022,"3",49,3,"3034"
"92","Aabenraa",1.5907605419022,"3",49,3,"3034"
"93","Aabenraa",1.66294541938147,"3",49,2,"2024"
"94","Aabenraa",1.66294541938147,"3",49,2,"3034"
"95","Aabenraa",1.70671360145554,"3",49,5,"2529"
"96","Aabenraa",1.70671360145554,"3",49,5,"2529"
"97","Aabenraa",1.70671360145554,"3",49,5,"2529"
"98","Aabenraa",1.70671360145554,"3",49,5,"3034"
"99","Aabenraa",1.70671360145554,"3",49,5,"3034"
"100","Aabenraa",1.66606411259287,"2",49,1,"2529"
"101","Aabenraa",1.41313103640055,"3",49,2,"2529"
"102","Aabenraa",1.41313103640055,"3",49,2,"2529"
"103","Aabenraa",1.59707256396081,"3",49,4,"2529"
"104","Aabenraa",1.59707256396081,"3",49,4,"2529"
"105","Aabenraa",1.59707256396081,"3",49,4,"3034"
"106","Aabenraa",1.59707256396081,"3",49,4,"3034"
"107","Aabenraa",1.50403744489869,"3",49,1,"2024"
"108","Aabenraa",1.70165014872835,"1",49,3,"2024"
"109","Aabenraa",1.70165014872835,"1",49,3,"2529"
"110","Aabenraa",1.70165014872835,"1",49,3,"3034"
"111","Aabenraa",1.65719466040038,"1",49,1,"3034"
"112","Aabenraa",1.59106330687068,"1",49,1,"2529"
"113","Aabenraa",1.6330721427387,"3",49,1,"3034"
"114","Aabenraa",1.5386609918023,"3",49,1,"3034"
"115","Aabenraa",1.70972166821715,"3",49,2,"2529"
"116","Aabenraa",1.70972166821715,"3",49,2,"3034"
"117","Aabenraa",1.43343794143936,"2",49,1,"2529"
"118","Aabenraa",1.48704483650628,"3",49,2,"2529"
"119","Aabenraa",1.48704483650628,"3",49,2,"3034"
"120","Aabenraa",1.80953638618097,"3",49,1,"3034"
"121","Aabenraa",1.73982067405123,"3",49,3,"2024"
"122","Aabenraa",1.73982067405123,"3",49,3,"2529"
"123","Aabenraa",1.73982067405123,"3",49,3,"3539"
"124","Aabenraa",1.48117117243792,"3",49,2,"2024"
"125","Aabenraa",1.48117117243792,"3",49,2,"3034"
"126","Aabenraa",1.65852586971894,"3",49,3,"2024"
"127","Aabenraa",1.65852586971894,"3",49,3,"2024"
"128","Aabenraa",1.65852586971894,"3",49,3,"3034"
"129","Aabenraa",1.43270783370733,"3",49,2,"3034"
"130","Aabenraa",1.43270783370733,"3",49,2,"3034"
"131","Aabenraa",1.90719773029934,"3",49,1,"2529"
"132","Aabenraa",1.57305650364106,"1",49,3,"2024"
"133","Aabenraa",1.57305650364106,"1",49,3,"2529"
"134","Aabenraa",1.57305650364106,"1",49,3,"3034"
"135","Aabenraa",1.57533521119068,"3",49,1,"3034"
"136","Aabenraa",1.92151588618764,"1",49,1,"2529"
"137","Aabenraa",1.65791150738935,"3",49,2,"2024"
"138","Aabenraa",1.65791150738935,"3",49,2,"3034"
"139","Aabenraa",2.10515776544535,"3",49,3,"2024"
"140","Aabenraa",2.10515776544535,"3",49,3,"3034"
"141","Aabenraa",2.10515776544535,"3",49,3,"3539"
"142","Aabenraa",1.67253292967298,"3",49,1,"3034"
"143","Aabenraa",1.61447215343615,"1",49,3,"2529"
"144","Aabenraa",1.61447215343615,"1",49,3,"2529"
"145","Aabenraa",1.61447215343615,"1",49,3,"3034"
"146","Aabenraa",1.77692186079963,"3",49,3,"3034"
"147","Aabenraa",1.77692186079963,"3",49,3,"3034"
"148","Aabenraa",1.77692186079963,"3",49,3,"3539"
"149","Aabenraa",1.45618687036104,"3",49,1,"3539"
"150","Aabenraa",1.68818237858427,"3",49,5,"2024"
"151","Aabenraa",1.68818237858427,"3",49,5,"2529"
"152","Aabenraa",1.68818237858427,"3",49,5,"3034"
"153","Aabenraa",1.68818237858427,"3",49,5,"3034"
"154","Aabenraa",1.68818237858427,"3",49,5,"3034"
"155","Aabenraa",1.69378528823625,"1",49,2,"2024"
"156","Aabenraa",1.69378528823625,"1",49,2,"2529"
"157","Aabenraa",1.58146942526141,"1",49,2,"2529"
"158","Aabenraa",1.58146942526141,"1",49,2,"3034"
"159","Aabenraa",1.9207656291066,"3",49,2,"2529"
"160","Aabenraa",1.9207656291066,"3",49,2,"3539"
"161","Aabenraa",1.90478987689696,"3",49,2,"2529"
"162","Aabenraa",1.90478987689696,"3",49,2,"2529"
"163","Aabenraa",1.94939104631214,"2",49,5,"2024"
"164","Aabenraa",1.94939104631214,"2",49,5,"2529"
"165","Aabenraa",1.94939104631214,"2",49,5,"2529"
"166","Aabenraa",1.94939104631214,"2",49,5,"3034"
"167","Aabenraa",1.94939104631214,"2",49,5,"3539"
"168","Aabenraa",1.68927042594911,"3",49,4,"3034"
"169","Aabenraa",1.68927042594911,"3",49,4,"3034"
"170","Aabenraa",1.68927042594911,"3",49,4,"3034"
"171","Aabenraa",1.68927042594911,"3",49,4,"3539"
"172","Aabenraa",1.81302903800846,"3",49,3,"2529"
"173","Aabenraa",1.81302903800846,"3",49,3,"2529"
"174","Aabenraa",1.81302903800846,"3",49,3,"3034"
"175","Aabenraa",1.55541934157035,"2",49,3,"2529"
"176","Aabenraa",1.55541934157035,"2",49,3,"3034"
"177","Aabenraa",1.55541934157035,"2",49,3,"3034"
"178","Aabenraa",1.42332020476821,"3",49,3,"3034"
"179","Aabenraa",1.42332020476821,"3",49,3,"3034"
"180","Aabenraa",1.42332020476821,"3",49,3,"3539"
"181","Aalborg",1.46698839802987,"1",49,3,"2529"
"182","Aalborg",1.46698839802987,"1",49,3,"3034"
"183","Aalborg",1.46698839802987,"1",49,3,"3034"
"184","Aalborg",1.67562153927791,"2",49,2,"3034"
"185","Aalborg",1.67562153927791,"2",49,2,"3034"
"186","Aalborg",1.60996438933754,"1",49,2,"3034"
"187","Aalborg",1.60996438933754,"1",49,2,"3034"
"188","Aalborg",1.74799757111346,"3",49,2,"2529"
"189","Aalborg",1.74799757111346,"3",49,2,"3034"
"190","Aalborg",1.47601950901606,"3",49,3,"2529"
"191","Aalborg",1.47601950901606,"3",49,3,"2529"
"192","Aalborg",1.47601950901606,"3",49,3,"4044"
"193","Aalborg",1.91259005783925,"3",49,1,"2529"
"194","Aalborg",1.54893418818661,"2",49,2,"3034"
"195","Aalborg",1.54893418818661,"2",49,2,"3034"
"196","Aalborg",1.39643862881859,"3",49,2,"2529"
"197","Aalborg",1.39643862881859,"3",49,2,"2529"
"198","Aalborg",1.55321734968445,"3",49,1,"2529"
"199","Aalborg",1.45931277013974,"3",49,3,"2529"
"200","Aalborg",1.45931277013974,"3",49,3,"3034"
"201","Aalborg",1.45931277013974,"3",49,3,"3034"
"202","Aalborg",1.309420049585,"3",49,1,"2529"
"203","Aalborg",1.83234484076705,"3",49,3,"2529"
"204","Aalborg",1.83234484076705,"3",49,3,"3034"
"205","Aalborg",1.83234484076705,"3",49,3,"3539"
"206","Aalborg",1.88244861854771,"1",49,3,"2024"
"207","Aalborg",1.88244861854771,"1",49,3,"3034"
"208","Aalborg",1.88244861854771,"1",49,3,"3539"
"209","Aalborg",1.62681223843485,"2",49,1,"3034"
"210","Aalborg",1.56784612857795,"3",49,5,"2529"
"211","Aalborg",1.56784612857795,"3",49,5,"3034"
"212","Aalborg",1.56784612857795,"3",49,5,"3034"
"213","Aalborg",1.56784612857795,"3",49,5,"3034"
"214","Aalborg",1.56784612857795,"3",49,5,"3539"
"215","Aalborg",1.69932560542025,"3",49,4,"2529"
"216","Aalborg",1.69932560542025,"3",49,4,"3034"
"217","Aalborg",1.69932560542025,"3",49,4,"3539"
"218","Aalborg",1.69932560542025,"3",49,4,"4044"
"219","Aalborg",1.60616328103892,"3",49,2,"3034"
"220","Aalborg",1.60616328103892,"3",49,2,"3034"
"221","Aalborg",1.68647455859724,"1",49,4,"2024"
"222","Aalborg",1.68647455859724,"1",49,4,"2529"
"223","Aalborg",1.68647455859724,"1",49,4,"3034"
"224","Aalborg",1.68647455859724,"1",49,4,"3539"
